"","FRP No.","FRP","infection_cpcr-d0","maturity","CW","SC","CH","holdtank","TREATMENT","lowtag","hightag","treattank","where","tube9","tube12","tube26"
"154","2017-6254",6254,0,"I","119.7","3","19.9","5W","W",3567,3595,5,"anywhere","69","296","."
"155","2017-6255",6255,1,"I","132.8","3","19","4W","W",3601,3810,4,"anywhere","143","262","."
"156","2017-6256",6256,1,"I","128.4","3","19.2","5W","W",3608,3845,5,"anywhere","146","283","."
"157","2017-6257",6257,1,"I","123","3","16.7","6W","W",3614,3800,6,"anywhere","138","363","."
"158","2017-6258",6258,3,"M","126.4","3","27.4","4W","W",3618,3806,4,"anywhere","140","261","."
"159","2017-6259",6259,0,"M","134.7","3","27.9","5W","W",3621,3818,5,"anywhere","139","281","."
"160","2017-6260",6260,0,"M","127.3","3","25.9","6W","W",3631,3832,6,"anywhere","136","374","."
"161","2017-6261",6261,1,"I","126.9","3","18.9","4W","W",3650,3851,4,"anywhere","164","273","."
"162","2017-6262",6262,1,"I","135.5","3","20.7","5W","W",3651,3856,5,"anywhere","168","289","."
"163","2017-6263",6263,1,"I","129.2","3","20.6","6W","W",3653,3857,6,"anywhere","179","368","."
"164","2017-6264",6264,0,"I","125","3","20.7","4W","W",3660,3863,4,"anywhere","180","268","."
"165","2017-6265",6265,0,"I","133","3","22.4","5W","W",3669,3874,5,"anywhere","155","282","."
"166","2017-6266",6266,1,"I","136.6","3","22","4W","W",3671,3875,4,"anywhere","156","264","."
"167","2017-6267",6267,1,"I","133","3","19.7","5W","W",3672,3876,5,"anywhere","159","288","."
"168","2017-6268",6268,0,"I","130","3","20.4","6W","W",3673,3877,6,"anywhere","97","369","."
"169","2017-6269",6269,1,"I","145.6","3","22.4","6W","W",3677,3880,6,"anywhere","160","364","."
"170","2017-6270",6270,0,"M","129.8","4","28.8","4W","W",3702,3902,4,"anywhere","131","269","."
"171","2017-6271",6271,0,"M","134.1","3","26","5W","W",3708,3717,5,"anywhere","105","295","."
"172","2017-6272",6272,0,"I","124.5","3","20.6","8A","A",3715,3719,8,"drain end","111","338","."
"173","2017-6273",6273,1,"I","133.7","3","19.7","5W","W",3720,3915,5,"anywhere","127","280","."
"174","2017-6274",6274,1,"I","131.8","3","19.5","6W","W",3721,3908,6,"anywhere","122","367","."
"175","2017-6275",6275,3,"M","127.1","3","26.9","6W","W",3727,3911,6,"anywhere","110","372","."
"176","2017-6276",6276,0,"I","112","4","19.5","9A","A",3381,3517,9,"drain end","50","0","."
"177","2017-6277",6277,0,"I","126.3","3","22.7","1C","C",3652,3855,3,"drain end","177","0","."
"178","2017-6279",6279,1,"I","111.6","3","13.9","1C","C",3182,3184,1,"drain end","13","219","411"
"179","2017-6280",6280,3,"I",".",".",".",".",".",3114,3133,1,"drain end","test1","0","."
"180","2017-6281",6281,3,"I","131.4","3","22.6",".",".",3712,3726,1,"drain end","test2","0","."
"181","2017-6282",6282,3,"M","129.5","3","26.9",".",".",3016,3424,1,"drain end","test3","0","."
