FRP No.,FRP,infection_cpcr-d0,maturity,CW,SC,CH,holdtank,TREATMENT,lowtag,hightag,treattank,where,tube_no,Avg_startq_day01,Avg_startq_day26,infection_status,temperature_treatment,RNAday9,RNAday12,RNAday26
2017-6193,6193,1,I,130.5,3,19,8A,A,3662,3866,8,drain end,333,350,217.5,1,ambient,3.36,6.08,5.12
2017-6193,6193,1,I,130.5,3,19,8A,A,3662,3866,8,drain end,482,350,217.5,1,ambient,3.36,6.08,5.12
2017-6198,6198,1,I,129.6,3,18.5,1C,C,3668,3870,2,drain end,154,5e3,250,1,cold,1.32,6.2,2.75
2017-6198,6198,1,I,129.6,3,18.5,2C,C,3668,3870,2,drain end,230,5e3,250,1,cold,1.32,6.2,2.75
2017-6198,6198,1,I,129.6,3,18.5,2C,C,3668,3870,2,drain end,428,5e3,250,1,cold,1.32,6.2,2.75
2017-6207,6207,1,I,119.3,3,19,3C,C,3707,3913,1,drain end,128,200,103.75,1,cold,5.32,4.68,5
2017-6207,6207,1,I,119.3,3,19,1C,C,3707,3913,1,drain end,202,200,103.75,1,cold,5.32,4.68,5
2017-6207,6207,1,I,119.3,3,19,1C,C,3707,3913,1,drain end,412,200,103.75,1,cold,5.32,4.68,5
2017-6208,6208,1,I,126.2,3,19.1,3C,C,3710,3723,2,drain end,106,15e4,1e3,1,cold,3.1,2.12,0.92
2017-6208,6208,1,I,126.2,3,19.1,2C,C,3710,3723,2,drain end,229,15e4,1e3,1,cold,3.1,2.12,0.92
2017-6208,6208,1,I,126.2,3,19.1,2C,C,3710,3723,2,drain end,435,15e4,1e3,1,cold,3.1,2.12,0.92
2017-6209,6209,1,I,126.8,3,20,3C,C,3714,3716,3,drain end,125,550,200,1,cold,5.88,4.8,8.24
2017-6209,6209,1,I,126.8,3,20,3C,C,3714,3716,3,drain end,251,550,200,1,cold,5.88,4.8,8.24
2017-6209,6209,1,I,126.8,3,20,3C,C,3714,3716,3,drain end,444,550,200,1,cold,5.88,4.8,8.24
2017-6210,6210,1,I,127.7,3,19,3C,C,3718,3914,4,anywhere,120,4750,3500,NA,NA,NA,2.44,2.18
2017-6210,6210,1,I,127.7,3,19,4W,W,3718,3914,4,anywhere,274,4750,3500,NA,NA,NA,2.44,2.18
2017-6210,6210,1,I,127.7,3,19,4W,W,3718,3914,4,anywhere,401,4750,3500,NA,NA,NA,2.44,2.18
2017-6214,6214,1,I,129.1,3,18.9,3C,C,3905,3920,9,drain end,107,132500,4e3,1,ambient,2.59,2.05,15.5
2017-6214,6214,1,I,129.1,3,18.9,9A,A,3905,3920,9,drain end,311,132500,4e3,1,ambient,2.59,2.05,15.5
2017-6214,6214,1,I,129.1,3,18.9,9A,A,3905,3920,9,drain end,504,132500,4e3,1,ambient,2.59,2.05,15.5
2017-6215,6215,1,I,112.3,3,15.1,8A,A,3120,3516,3,drain end,23,300,300,1,cold,1.16,0.84,3.58
2017-6215,6215,1,I,NA,NA,NA,3C,C,3423,3516,3,drain end,253,300,300,1,cold,1.16,0.84,3.58
2017-6215,6215,1,I,NA,NA,NA,3C,C,3423,3516,3,drain end,457,300,300,1,cold,1.16,0.84,3.58
2017-6216,6216,0,I,113,4,20.1,9A,A,3015,3344,4,anywhere,40,4,NA,0,warm,1.75,4.88,NA
2017-6216,6216,0,I,113,4,20.1,4W,W,3015,3344,4,anywhere,267,4,NA,0,warm,1.75,4.88,NA
2017-6219,6219,1,I,125.1,3,18.7,3C,C,3043,3135,4,anywhere,116,650,NA,1,warm,4.2,4.2,NA
2017-6219,6219,1,I,125.1,3,18.7,4W,W,3043,3135,4,anywhere,276,650,NA,1,warm,4.2,4.2,NA
2017-6220,6220,1,I,82,3,6.7,1C,C,3047,3278,5,anywhere,162,283.3333333333333,NA,1,warm,2.88,8.52,NA
2017-6220,6220,1,I,82,3,6.7,5W,W,3047,3278,5,anywhere,293,283.3333333333333,NA,1,warm,2.88,8.52,NA
2017-6221,6221,1,I,113.2,3,15.7,8A,A,3051,3535,6,anywhere,16,150,NA,1,warm,10.2,3.03,NA
2017-6221,6221,1,I,113.2,3,15.7,6W,W,3051,3535,6,anywhere,380,150,NA,1,warm,10.2,3.03,NA
2017-6224,6224,1,I,122,3,17.1,7A,A,3083,3429,4,drain end,74,55,NA,1,warm,4.6,9.32,NA
2017-6224,6224,1,I,122,3,17.1,4W,W,3083,3429,4,drain end,277,55,NA,1,warm,4.6,9.32,NA
2017-6225,6225,1,I,118.2,3,15.2,7A,A,3084,3377,5,drain end,92,15e4,NA,1,warm,6.56,2.1,NA
2017-6225,6225,1,I,118.2,3,15.2,5W,W,3084,3377,5,drain end,298,15e4,NA,1,warm,6.56,2.1,NA
2017-6226,6226,0,I,124.8,3,18.8,7A,A,3085,3233,4,drain end,85,1.5,NA,0,warm,10.8,8.28,NA
2017-6226,6226,0,I,124.8,3,18.8,4W,W,3085,3233,4,drain end,260,1.5,NA,0,warm,10.8,8.28,NA
2017-6227,6227,1,I,116.7,3,17,7A,A,3086,3155,6,drain end,83,60.1125,NA,1,warm,3.44,2.41,NA
2017-6227,6227,1,I,116.7,3,17,6W,W,3086,3155,6,drain end,366,60.1125,NA,1,warm,3.44,2.41,NA
2017-6229,6229,0,I,109.4,3,13.9,7A,A,3090,3496,6,drain end,89,0.85,NA,0,warm,4.96,3.94,NA
2017-6229,6229,0,I,109.4,3,13.9,6W,W,3090,3496,6,drain end,379,0.85,NA,0,warm,4.96,3.94,NA
2017-6236,6236,0,I,118.7,3,19,1C,C,3195,3350,6,anywhere,157,2,NA,0,warm,7.6,6.52,NA
2017-6236,6236,0,I,118.7,3,19,6W,W,3195,3350,6,anywhere,361,2,NA,0,warm,7.6,6.52,NA
2017-6246,6246,0,I,116,3,18.1,8A,A,3299,3383,4,anywhere,3,4.533333333333333,NA,0,warm,7.2,7.24,NA
2017-6246,6246,0,I,116,3,18.1,4W,W,3299,3383,4,anywhere,265,4.533333333333333,NA,0,warm,7.2,7.24,NA
2017-6247,6247,0,I,118.4,3,19.4,1C,C,3315,3500,5,anywhere,152,80.66,NA,0,warm,2.46,5.52,NA
2017-6247,6247,0,I,118.4,3,19.4,5W,W,3315,3500,5,anywhere,287,80.66,NA,0,warm,2.46,5.52,NA
