FRP No.	FRP	infection_cpcr-d0	maturity	CW	SC	CH	holdtank	TREATMENT	lowtag	hightag	treattank	where	tube_no
2017-6167	6167	0	I	110.7	3	12.4	9A	A	3382	3481	1	drain end	45
2017-6167	6167	0	I	110.7	3	12.4	1C	C	3382	3481	1	drain end	207
2017-6167	6167	0	I	110.7	3	12.4	1C	C	3382	3481	1	drain end	414
2017-6168	6168	1	I	99.5	3	13.7	8A	A	3385	3554	7	drain end	27
2017-6168	6168	1	I	99.5	3	13.7	7A	A	3385	3554	7	drain end	357
2017-6168	6168	1	I	99.5	3	13.7	7A	A	3385	3554	7	drain end	466
2017-6169	6169	1	I	117.2	3	16.8	7A	A	3391	3550	8	drain end	57
2017-6169	6169	1	I	117.2	3	16.8	8A	A	3391	3550	8	drain end	328
2017-6169	6169	1	I	117.2	3	16.8	8A	A	3391	3550	8	drain end	486
2017-6170	6170	1	I	117.2	3	15.4	7A	A	3397	3553	9	drain end	70
2017-6170	6170	1	I	117.2	3	15.4	9A	A	3397	3553	9	drain end	320
2017-6170	6170	1	I	117.2	3	15.4	9A	A	3397	3553	9	drain end	516
2017-6171	6171	0	I	127.4	3	19.3	7A	A	3400	3464	2	drain end	73
2017-6171	6171	0	I	127.4	3	19.3	2C	C	3400	3464	2	drain end	221
2017-6171	6171	0	I	127.4	3	19.3	2C	C	3400	3464	2	drain end	427
2017-6172	6172	0	M	116.3	3	24.4	7A	A	3438	3457	1	drain end	"60, 100"
2017-6172	6172	0	M	116.3	3	24.4	9A	A	3438	3457	1	drain end	316
2017-6172	6172	0	M	116.3	3	24.4	9A	A	3438	3457	1	drain end	517
2017-6173	6173	1	I	95	3	14.1	7A	A	3448	3468	1	drain end	63
2017-6173	6173	1	I	95	3	14.1	1C	C	3448	3468	1	drain end	210
2017-6173	6173	1	I	95	3	14.1	1C	C	3448	3468	1	drain end	420
2017-6174	6174	1	I	117.4	3	15.9	8A	A	3475	3524	2	drain end	20
2017-6174	6174	1	I	117.4	3	15.9	2C	C	3475	3524	2	drain end	233
2017-6174	6174	1	I	117.4	3	15.9	2C	C	3475	3524	2	drain end	433
2017-6175	6175	0	I	116.4	4	19.6	7A	A	3498	3523	3	drain end	67
2017-6175	6175	0	I	116.4	4	19.6	3C	C	3498	3523	3	drain end	246
2017-6175	6175	0	I	116.4	4	19.6	3C	C	3498	3523	3	drain end	447
2017-6176	6176	0	M	102.3	3	20.1	9A	A	3512	3537	8	drain end	48
2017-6176	6176	0	M	102.3	3	20.1	8A	A	3512	3537	8	drain end	329
2017-6176	6176	0	M	102.3	3	20.1	8A	A	3512	3537	8	drain end	490
2017-6177	6177	1	I	120.2	3	17.1	7A	A	3532	3594	3	drain end	54
2017-6177	6177	1	I	120.2	3	17.1	3C	C	3532	3594	3	drain end	250
2017-6177	6177	1	I	120.2	3	17.1	3C	C	3532	3594	3	drain end	456
2017-6178	6178	0	M	138.6	3	30	3C	C	3544	3559	1	drain end	124
2017-6178	6178	0	M	138.6	3	30	1C	C	3544	3559	1	drain end	218
2017-6178	6178	0	M	138.6	3	30	1C	C	3544	3559	1	drain end	410
2017-6179	6179	0	M	117.4	4	23.2	9A	A	3561	3588	9	drain end	34
2017-6179	6179	0	M	117.4	4	23.2	9A	A	3561	3588	9	drain end	315
2017-6179	6179	0	M	117.4	4	23.2	9A	A	3561	3588	9	drain end	515
2017-6180	6180	0	I	125.4	3	19.5	2C	C	3610	3813	6	anywhere	149
2017-6180	6180	0	I	125.4	3	19.5	6W	W	3610	3813	6	anywhere	370
2017-6180	6180	0	I	125.4	3	19.5	6W	W	3610	3813	6	anywhere	402
2017-6181	6181	0	I	133.4	3	20.4	1C	C	3616	3846	7	drain end	175
2017-6181	6181	0	I	133.4	3	20.4	7A	A	3616	3846	7	drain end	355
2017-6181	6181	0	I	133.4	3	20.4	7A	A	3616	3846	7	drain end	470
2017-6182	6182	1	I	141.4	4	21.1	2C	C	3617	3831	7	drain end	137
2017-6182	6182	1	I	141.4	4	21.1	7A	A	3617	3831	7	drain end	354
2017-6182	6182	1	I	141.4	4	21.1	7A	A	3617	3831	7	drain end	462
2017-6183	6183	1	I	140	3	21.1	2C	C	3619	3804	8	drain end	141
2017-6183	6183	1	I	140	3	21.1	8A	A	3619	3804	8	drain end	322
2017-6183	6183	1	I	140	3	21.1	8A	A	3619	3804	8	drain end	494
2017-6184	6184	1	I	121.9	3	17.3	2C	C	3628	3809	9	drain end	148
2017-6184	6184	1	I	121.9	3	17.3	9A	A	3628	3809	9	drain end	318
2017-6184	6184	1	I	121.9	3	17.3	9A	A	3628	3809	9	drain end	513
2017-6185	6185	0	I	124.8	3	21.8	2C	C	3630	3824	8	drain end	145
2017-6185	6185	0	I	124.8	3	21.8	8A	A	3630	3824	8	drain end	336
